quote_number,gender,agecat,date_of_birth,credit_score,area,traffic_index,veh_age,veh_body,veh_value,numclaims,claimcst0
29323463,F,4,4/14/1968,750,C,124.5,2,HBACK,1.1,0,17.94445529
16732441,M,2,10/4/1984,567,F,,3,STNWG,2.079,0,1357.150976
68744228,M,4,11/30/1962,378,D,111.4,3,HDTOP,2.354,1,5426.584291
30875047,F,3,5/17/1973,807,E,,4,UTE,1.969,0,0
37049210,M,6,10/2/1945,844,C,111,1,HBACK,1.969,0,0
90859532,M,1,1/19/1995,743,C,133.5,1,HBACK,2.09,0,133.5687869
58572612,M,5,3/27/1953,647,F,156,3,HDTOP,2.915,0,330.2671068
32679788,M,4,9/20/1964,785,A,,2,SEDAN,1.925,0,138.0876924
90845095,F,1,1/17/1999,601,B,105.2,2,HBACK,1.43,0,181.7255555
97453004,F,3,12/2/1979,672,C,145.5,2,STNWG,3.905,0,0
13843905,F,,9/10/1956,654,C,133.5,4,SEDAN,0.847,0,76.83235794
35005918,M,2,10/20/1986,619,C,147,3,HBACK,0.979,0,0
98385091,M,5,6/26/1956,840,E,22.5,4,SEDAN,0.803,0,0
99135056,M,5,2/27/1956,741,A,57.3,4,HBACK,0.451,0,0
30780507,F,,9/9/1978,811,B,140.8,1,STNWG,3.9589,0,94.74703283
78395567,M,6,8/11/1948,751,C,136.5,4,HBACK,0.242,0,13.7904871
75159402,F,4,8/5/1969,328,A,86.8,4,HBACK,1.265,0,152.1252264
88324551,M,5,12/27/1959,813,A,62.7,1,SEDAN,2.915,0,0
84538742,F,,3/20/1959,762,E,49.5,2,SEDAN,1.705,0,0
96341459,M,6,7/6/1941,841,D,155,4,SEDAN,0.484,0,53.22811541
35209135,M,4,2/13/1962,839,B,,1,STNWG,3.531,0,309.5335824
38851104,M,1,1/18/1992,719,A,87.1,1,TRUCK,2.9139,0,136.9090509
97289087,M,1,1/2/1993,757,C,141,3,STNWG,2.728,0,0
58264138,F,4,6/29/1960,664,C,,2,SEDAN,1.771,0,0
80238106,M,6,2/6/1931,759,A,61.9,4,HDTOP,1.045,0,0
54346585,M,4,7/28/1964,774,A,46.5,3,HBACK,1.342,0,0
53170392,F,6,3/15/1945,846,A,67.7,2,SEDAN,2.024,0,0
53124568,F,4,12/15/1961,740,A,64.5,4,STNWG,0.506,0,48.96338678
18898186,F,4,10/17/1963,770,A,82.4,2,STNWG,4.4,0,0
89196246,M,5,11/15/1958,796,F,144,3,BUS,0,0,37.07235298
41430497,M,3,10/12/1970,667,D,131.3,1,STNWG,3.333,0,589.6422717
18197837,M,3,8/27/1970,656,C,141,4,STNWG,1.804,0,76.13820694
85253708,M,3,9/20/1972,580,F,76,2,SEDAN,1.826,0,247.4298236
77210696,M,3,2/7/1974,772,C,142.5,2,STNWG,4.4,0,0
47370641,F,4,2/2/1968,821,E,42,4,COUPE,0.495,0,0
56543451,F,4,1/11/1965,647,D,81.1,3,STNWG,2.937,0,133.8456553
39829405,F,3,6/6/1978,348,A,76.1,2,SEDAN,1.749,0,4901.136684
52918551,M,3,7/19/1974,703,A,51.1,4,SEDAN,0.517,0,27.96361926
57752513,M,5,1/29/1952,844,C,133.5,4,SEDAN,0.737,0,22.9512229
19047298,F,1,11/14/1990,347,C,117,3,HBACK,1.386,0,4650.804055
63320870,F,6,7/15/1942,830,D,97.6,1,STNWG,3.245,0,34.90488464
51895426,F,1,1/30/1994,731,C,141,3,HBACK,0.803,0,145.1382841
32394168,F,5,11/17/1950,845,B,135.9,1,HBACK,1.936,0,336.8861651
33583908,F,3,12/5/1978,668,C,120,2,HBACK,1.65,0,0
93233684,F,3,4/2/1979,631,C,147,1,HBACK,1.32,0,247.3302551
55780655,F,3,1/1/1971,331,D,94.5,3,HBACK,0.748,0,2937.303899
80053395,M,3,6/25/1979,788,C,,2,HBACK,1.287,0,17.76455049
98173507,F,1,2/20/1991,653,A,55.6,4,HBACK,0.605,0,135.4472604
73469624,F,,2/3/1977,678,A,71.4,2,STNWG,3.157,0,0
36596290,M,6,9/26/1938,849,A,89.3,3,SEDAN,1.276,0,0
93659873,M,1,12/17/1991,,A,106.7,2,UTE,3.135,0,500.0015754
32176678,F,2,7/30/1988,467,C,132,4,SEDAN,0.528,0,565.8165163
25970449,M,5,7/31/1958,728,A,83.1,2,STNWG,3.63,0,0
29099996,M,6,6/29/1945,302,E,43.5,3,SEDAN,1.639,1,8787.321185
65484723,M,6,11/5/1945,739,C,132,4,HDTOP,1.705,0,156.3572365
77761140,M,2,11/10/1981,673,E,45,2,STNWG,4.356,0,0
86570599,M,5,1/30/1952,799,C,75,2,PANVN,2.079,0,0
79360590,F,5,12/17/1958,765,B,133.4,4,HBACK,0.407,0,0
70267032,F,4,5/20/1968,622,D,137.9,4,STNWG,1.529,0,0
62650484,F,4,12/27/1964,554,B,132.8,4,HBACK,1.133,0,1603.681688
83592005,F,2,4/26/1981,770,A,81,3,SEDAN,1.419,0,0
59725469,F,3,11/15/1978,748,A,85.3,1,SEDAN,2.563,0,0
32697184,F,4,11/5/1968,586,A,83.9,2,HBACK,1.727,0,1421.046163
79078711,F,5,11/15/1951,732,E,54,3,SEDAN,1.089,0,0
54364519,F,1,12/26/1999,600,C,141,1,STNWG,7.9189,0,1027.308393
89214523,M,3,3/31/1975,777,B,,3,SEDAN,1.496,0,0
99165243,M,2,4/23/1984,660,A,62.5,3,UTE,1.573,0,147.5314334
81682346,M,3,10/16/1970,738,A,83.9,1,STNWG,7.161,0,442.6047339
94611933,M,6,2/25/1934,494,C,136.5,3,STNWG,2.552,0,448.6808189
35550456,F,3,1/23/1975,791,C,148.5,4,STNWG,1.111,0,0
79523665,M,6,12/3/1948,736,E,85.5,2,UTE,3.927,0,301.8765413
27104584,M,,8/3/1953,819,A,51,4,STNWG,1.342,0,0
48507344,M,2,8/9/1982,641,C,148.5,4,STNWG,1.595,0,34.47126865
57866149,F,4,3/19/1967,589,F,148,2,TRUCK,2.31,0,580.4260951
11415633,F,4,11/29/1966,745,B,90.1,3,SEDAN,1.694,0,0
70327794,F,2,6/5/1985,563,D,63.2,3,STNWG,2.068,0,335.9562143
11105334,F,4,5/17/1967,571,A,81.3,2,SEDAN,2.167,0,136.6866906
65559229,F,4,10/28/1961,413,C,138,3,SEDAN,1.067,0,2013.302933
85199557,F,3,11/10/1976,608,C,142.5,3,HBACK,0.858,0,104.1438963
41406469,F,2,7/22/1984,664,C,,3,SEDAN,1.419,0,24.78729418
43949798,F,5,8/17/1952,818,F,80,1,SEDAN,2.211,0,44.42180804
92967674,F,6,5/13/1947,820,C,109.5,4,STNWG,1.111,0,0
82086393,F,4,9/8/1969,790,C,142.5,3,HBACK,0.968,0,0
46709328,F,1,6/26/1994,545,A,71,1,SEDAN,1.694,0,884.3679348
14929883,M,3,4/15/1974,762,B,121.7,3,STNWG,2.354,0,0
35646519,M,2,11/12/1981,540,A,,3,HBACK,0.99,0,57.26223648
74652011,F,5,2/27/1951,658,B,144.3,4,HBACK,0.594,0,0
16000176,F,3,2/13/1976,789,C,99,1,SEDAN,1.98,0,0
73909866,F,2,1/20/1984,596,A,85.9,2,STNWG,2.167,0,133.2809074
72298478,F,,9/6/1989,381,F,116,2,STNWG,4.004,0,2136.63183
92648877,F,4,1/2/1969,652,D,71.1,2,STNWG,4.092,0,0
15848848,M,2,3/27/1989,532,C,87,2,STNWG,3.729,0,1297.127806
40278217,M,3,12/22/1978,699,C,115.5,2,HBACK,1.628,0,17.5244841
63561688,M,2,5/26/1980,761,E,37.5,3,HBACK,2.156,0,0
10929818,F,2,9/26/1985,632,E,108,3,UTE,1.529,1,219.9223425
77870383,M,5,1/25/1952,721,C,142.5,2,UTE,2.86715,0,0
78917838,M,2,11/30/1985,686,B,130.7,3,SEDAN,1.573,0,0
10171390,F,5,10/23/1959,738,A,53.1,2,HBACK,1.155,0,0
72663415,F,3,10/22/1974,697,B,156.5,2,SEDAN,1.87,0,68.2035529
44383766,M,6,5/5/1930,420,B,123.9,4,HBACK,0.803,0,1513.606928
81926793,F,3,12/25/1973,763,C,147,2,HBACK,2.035,0,0
20721973,F,3,2/28/1973,753,E,61.5,4,STNWG,1.177,0,151.9591313
54181021,M,6,9/6/1939,401,B,112.6,2,SEDAN,3.707,0,2083.786308
70304625,M,1,6/28/1995,669,C,139.5,3,UTE,2.398,0,14.45626388
19963804,F,2,6/9/1981,658,A,72.2,2,HBACK,3.927,0,81.93589735
38394897,F,3,11/30/1975,631,B,127.6,3,STNWG,1.21,0,0
10448558,M,5,11/24/1954,707,B,133.4,2,HBACK,1.43,0,241.139607
37603607,F,,4/4/1981,828,A,79.5,2,SEDAN,2.101,0,22.03506198
34005115,F,,8/29/1964,816,A,58.3,2,SEDAN,1.606,0,0
31658603,F,1,9/6/1999,487,C,145.5,2,HBACK,1.144,1,634.5141551
48138156,M,5,11/14/1950,833,B,135.2,3,HBACK,2.068,0,0
54068287,M,2,10/22/1988,,A,62.8,1,COUPE,5.984,0,0
27459433,M,2,8/30/1982,,A,65.4,2,SEDAN,1.661,0,253.0824448
51348377,F,5,7/1/1952,798,C,139.5,3,HDTOP,2.277,0,0
55612617,F,2,12/25/1986,655,C,133.5,3,SEDAN,1.925,0,560.7971796
13268542,F,2,11/12/1980,664,D,65.4,3,UTE,2.904,0,367.2859951
48194585,F,2,10/31/1983,757,C,148.5,4,SEDAN,1.056,0,0
59863046,F,2,2/11/1987,,A,117.3,1,STNWG,4.488,0,121.7426125
66989511,F,1,12/18/1996,690,D,120.5,3,HBACK,1.012,0,18.42393478
69882254,M,2,6/8/1985,643,F,126,3,STNWG,2.651,0,126.7985979
88382985,M,1,4/6/1994,632,B,103.4,1,UTE,3.487,0,327.3436267
55393346,M,2,12/21/1980,,A,73.8,1,STNWG,3.025,0,0
85514313,F,3,6/13/1973,605,A,99.8,1,SEDAN,2.024,0,0
94342584,F,3,2/1/1973,591,D,111.3,3,HBACK,0.737,0,409.4622301
78176156,M,6,5/21/1939,363,C,,3,HBACK,1.1,0,2272.812507
11353272,M,5,12/23/1955,764,A,109.2,4,UTE,0.682,0,0
59614362,M,3,10/27/1970,800,E,13.5,3,UTE,2.53,0,0
28239650,F,6,6/29/1935,845,A,43.2,2,HBACK,1.573,0,0
20523110,M,,1/18/1948,634,E,15,4,HBACK,0.847,0,0
80428995,M,3,3/9/1979,473,E,24,3,UTE,1.738,0,3210.514952
20015363,F,6,2/19/1932,824,D,100.6,4,SEDAN,0.385,0,0
44631409,F,5,7/22/1955,731,C,136.5,2,HBACK,1.21,0,0
74064789,F,,1/12/1958,765,C,135,3,SEDAN,1.463,0,0
49417450,M,5,9/12/1953,803,A,86.3,1,SEDAN,3.058,0,0
16424619,M,4,7/22/1963,517,C,144,4,SEDAN,0.385,0,270.5409587
72786390,F,5,11/2/1956,817,C,148.5,3,SEDAN,1.276,0,0
86552604,F,5,6/5/1958,798,E,46.5,4,TRUCK,1.441,0,13.4855469
28941629,M,5,3/4/1953,516,B,128.3,4,HBACK,0.484,0,857.1869399
68697160,F,5,5/9/1951,804,D,84,1,SEDAN,2.255,0,113.1262675
62677627,F,,7/15/1946,806,D,101.3,2,SEDAN,1.617,0,0
15799774,M,4,12/2/1968,722,B,126.6,3,HBACK,0.913,0,0
63810777,M,5,12/15/1955,846,A,77.1,3,TRUCK,0.825,0,0
39204707,M,6,8/2/1925,775,E,19.5,2,HBACK,1.155,0,0
33181980,F,2,4/5/1981,621,A,60,3,HBACK,2.761,0,0
55082550,M,3,4/20/1975,496,A,91.8,1,HBACK,2.046,0,177.0670917
27273679,F,5,7/15/1956,529,C,130.5,4,MIBUS,1.353,0,361.3526558
96313099,M,1,7/30/1997,344,C,93,1,SEDAN,18.359,1,11442.91254
89246286,F,4,6/25/1969,319,B,90.1,3,STNWG,1.749,0,1999.690429
73771603,F,5,8/3/1952,544,A,88.7,2,SEDAN,1.496,0,182.2286841
20625440,F,3,5/8/1975,505,E,28.5,1,STNWG,5.203,0,7026.460036
94586276,M,2,3/19/1983,751,C,142.5,1,HBACK,1.573,0,0
81872546,M,3,10/14/1972,,E,34.5,4,HDTOP,1.441,0,634.7804716
95191686,F,5,2/6/1952,825,C,144,2,HBACK,1.914,0,0
35918893,F,,11/5/1976,694,B,131.5,3,SEDAN,0.979,0,0
82706356,M,2,10/1/1983,596,D,74.7,4,PANVN,0.605,0,257.207756
42533443,M,4,7/30/1963,825,A,54,3,SEDAN,1.133,0,0
22450805,F,,4/26/1964,456,B,110.1,3,SEDAN,4.708,0,2542.9732
47824530,M,2,9/8/1986,552,C,112.5,3,STNWG,2.552,0,905.6724118
40200256,F,2,8/21/1981,820,B,145.5,1,HBACK,1.496,0,0
61817933,F,4,6/24/1969,798,A,61.7,4,SEDAN,2.178,0,0
84125015,F,4,5/22/1962,537,E,33,1,HBACK,1.77573,0,482.1669295
57019248,F,3,10/1/1979,521,C,141,4,HBACK,0.561,0,38.44305944
74817701,M,,12/23/1970,801,B,134.2,3,MIBUS,2.816,0,0
73731136,M,,4/13/1959,494,C,130.5,1,HBACK,1.441,0,842.4194306
23973760,F,,11/24/1970,616,B,135.9,4,STNWG,0.715,0,135.7654439
24098660,M,5,8/5/1957,652,C,127.5,3,TRUCK,2.365,0,102.1855547
64879452,M,3,7/1/1970,574,D,126.4,3,UTE,3.509,0,2072.215275
58284487,M,2,6/13/1986,494,A,82.7,1,HBACK,1.507,0,2089.700817
37867263,F,3,6/20/1977,424,E,114,1,HBACK,1.606,1,9045.536693
67194847,F,4,5/11/1963,536,E,48,3,HBACK,0.88,0,0
50210352,F,4,8/6/1968,684,D,74,1,SEDAN,2.585,0,0
31917752,M,3,7/16/1970,757,C,120,2,HBACK,2.937,0,46.10793895
39740515,F,5,2/25/1950,616,F,124,3,STNWG,2.717,0,151.3623405
22422332,F,1,11/30/1992,,A,107.2,1,HBACK,1.551,0,407.2959649
79791070,M,5,1/21/1951,805,C,78,2,SEDAN,2.101,0,0
43512392,M,2,4/29/1989,714,E,24,3,STNWG,2.266,0,0
24324374,F,4,11/5/1967,686,C,148.5,3,HBACK,1.133,0,70.9998264
98513412,F,2,1/8/1988,846,A,88.3,1,SEDAN,3.575,0,0
10568954,M,,3/21/1961,842,E,51,3,STNWG,3.498,0,106.4963736
32360741,F,2,4/14/1987,804,C,135,4,SEDAN,0.55,0,0
75580474,M,2,10/26/1980,555,F,84,2,STNWG,4.246,0,565.8344504
99634626,M,3,3/26/1971,705,A,86.5,4,UTE,1.98,0,0
38536613,F,1,6/10/1999,485,D,98.9,1,HBACK,1.782,0,1675.273447
67421242,M,,5/16/1992,,A,77.9,1,STNWG,6.193,1,2133.782313
18359922,F,4,1/1/1960,611,C,96,3,HBACK,1.375,0,187.1955493
25724892,M,2,2/13/1982,,B,126.1,4,TRUCK,0.902,1,1232.309298
34194368,F,2,6/30/1984,799,A,71.9,4,SEDAN,0.759,0,0
18313450,M,3,3/11/1979,530,C,135,3,SEDAN,1.419,0,2239.543513
94070006,F,1,4/22/1998,428,A,53.2,1,STNWG,5.7596,1,4341.811661
48224116,F,4,2/23/1964,802,E,37.5,1,SEDAN,2.629,0,374.8474986
24451054,M,3,5/24/1972,747,C,144,2,HBACK,1.716,0,15.94299425
98686915,F,3,2/24/1976,677,C,106.5,3,SEDAN,0.913,0,0
79411814,M,,6/21/1930,359,B,127.9,3,SEDAN,1.705,0,4058.491772
60806916,F,2,6/26/1986,,B,122,3,SEDAN,3.432,0,85.46878968
70076220,F,2,10/22/1987,560,B,116.5,1,SEDAN,1.925,0,388.4629221
77107689,F,4,5/25/1961,589,D,74.5,2,HBACK,1.518,0,0
99404606,F,4,2/13/1962,770,C,,2,HBACK,1.573,0,0
63804868,M,4,2/25/1967,569,C,93,3,HBACK,1.045,0,337.6780068
33714793,F,5,7/18/1959,784,C,99,2,HBACK,1.441,0,33.03981668
14816803,M,2,12/23/1986,518,B,,1,HBACK,1.595,0,931.1634915
29483334,F,6,1/12/1939,556,B,,3,HBACK,0.781,0,0
80913949,F,4,1/17/1963,541,C,142.5,2,HBACK,2.035,0,57.26223648
